,SouceToDestination_city,ROUTE,#source_cities,#destination_cities,Number_of_Trips,Average_Actual_distance_to_destination,#source_states,#destination_states,destination_states,source_states,source_cities,route_type,destination_cities
297,Kozhikode TO Thachnttukra,Kozhikode Tirurangadi Malappuram -- Tirurangadi Malappuram Thachnttukra,3,3,1,60.00657348979651,1,1,Kerala,Kerala,Kozhikode Tirurangadi Malappuram,Carting,Tirurangadi Malappuram Thachnttukra
298,Purnia TO Khagaria,Purnia Katihar Naugchia -- Katihar Naugchia Khagaria,3,3,2,135.96144276555415,1,1,Bihar,Bihar,Purnia Katihar Naugchia,FTL,Katihar Naugchia Khagaria
299,Warangal TO Warangal,Warangal Husnabad Jammikunta -- Husnabad Jammikunta Warangal,3,3,17,90.41742376490913,1,1,Telangana,Telangana,Warangal Husnabad Jammikunta,FTL,Husnabad Jammikunta Warangal
300,MAA TO MAA,MAA Kanchipuram Arakkonam -- Kanchipuram Arakkonam MAA,3,3,11,78.48715443882472,1,1,Tamil Nadu,Tamil Nadu,MAA Kanchipuram Arakkonam,Carting,Kanchipuram Arakkonam MAA
301,Hyderabad TO Hyderabad,Hyderabad Hyd Medchal -- Medchal Hyd Hyderabad,3,3,10,16.691002312597657,1,1,Telangana,Telangana,Hyderabad Hyd Medchal,Carting,Medchal Hyd Hyderabad
302,Goa TO Pune,Goa Sawantwadi Kankavali -- Sawantwadi Kankavali Pune,3,3,8,338.1552394774341,2,1,Maharashtra,Goa Maharashtra,Goa Sawantwadi Kankavali,FTL,Sawantwadi Kankavali Pune
303,Dhule TO Satana,Dhule Manmad Malegaon -- Manmad Malegaon Satana,3,3,10,92.86017435432485,1,1,Maharashtra,Maharashtra,Dhule Manmad Malegaon,FTL,Manmad Malegaon Satana
304,DehriSone TO DehriSone,DehriSone AurngbadBR Sasaram -- AurngbadBR Sasaram DehriSone,3,3,13,46.88046289685355,1,1,Bihar,Bihar,DehriSone AurngbadBR Sasaram,FTL,AurngbadBR Sasaram DehriSone
305,CCU TO CCU,CCU Baruipur Jaynagar -- Baruipur Jaynagar CCU,3,3,5,68.10485447407824,1,1,West Bengal,West Bengal,CCU Baruipur Jaynagar,FTL,Baruipur Jaynagar CCU
306,Gurgaon TO Gurgaon,Gurgaon Muzaffrpur Purnia -- Muzaffrpur Purnia Gurgaon,3,3,13,2016.9419151617515,2,2,Bihar Haryana,Haryana Bihar,Gurgaon Muzaffrpur Purnia,FTL,Muzaffrpur Purnia Gurgaon
307,Bongaon TO Bongaon,Bongaon Helencha Kolkata -- Helencha Kolkata Bongaon,3,3,8,102.45203617926006,1,1,West Bengal,West Bengal,Bongaon Helencha Kolkata,FTL,Helencha Kolkata Bongaon
308,Rajamundry TO Rajamundry,Rajamundry Amalapuram Draksharamam -- Palakollu Draksharamam Rajamundry,3,3,1,121.4553434805321,1,1,Andhra Pradesh,Andhra Pradesh,Rajamundry Amalapuram Draksharamam,FTL,Palakollu Draksharamam Rajamundry
309,Thoppur TO Krishnagiri,Thoppur Dharmapuri Krishnagiri -- Dharmapuri Bengaluru Krishnagiri,3,3,8,153.99651325798783,1,2,Tamil Nadu Karnataka,Tamil Nadu,Thoppur Dharmapuri Krishnagiri,FTL,Dharmapuri Bengaluru Krishnagiri
310,Aurangabad TO Sillod,Aurangabad Jalna Sillod -- Jalna Aurangabad Sillod,3,3,16,158.74477050986653,1,1,Maharashtra,Maharashtra,Aurangabad Jalna Sillod,Carting,Jalna Aurangabad Sillod
311,Gandhidham TO Ahmedabad,Gandhidham Halvad Dhrangadhra -- Halvad Dhrangadhra Ahmedabad,3,3,10,228.80420815671272,1,1,Gujarat,Gujarat,Gandhidham Halvad Dhrangadhra,FTL,Halvad Dhrangadhra Ahmedabad
312,Mangalore TO Mangalore,Mangalore Manjeshwar Kanhangad -- Manjeshwar Kasaragod Mangalore,3,3,4,59.11190620659045,2,2,Kerala Karnataka,Karnataka Kerala,Mangalore Manjeshwar Kanhangad,FTL,Manjeshwar Kasaragod Mangalore
313,Bengaluru TO Ahmedabad,Bengaluru Kolhapur Surat -- Kolhapur Surat Ahmedabad,3,3,16,1110.015338675844,3,2,Maharashtra Gujarat,Karnataka Maharashtra Gujarat,Bengaluru Kolhapur Surat,FTL,Kolhapur Surat Ahmedabad
314,Muzaffrpur TO Muzaffrpur,Muzaffrpur Madhubani Jaynagar -- Madhubani Jaynagar Muzaffrpur,3,3,22,189.9580738702376,1,1,Bihar,Bihar,Muzaffrpur Madhubani Jaynagar,FTL,Madhubani Jaynagar Muzaffrpur
315,Sendhwa TO Bhopal,Sendhwa Dhule Bhiwandi -- Dhule Bhiwandi Bhopal,3,3,10,416.09055760508375,2,2,Maharashtra Madhya Pradesh,Madhya Pradesh Maharashtra,Sendhwa Dhule Bhiwandi,FTL,Dhule Bhiwandi Bhopal
316,Parakkdavu TO Kottayam,Parakkdavu Mundakayam Karukachal -- Mundakayam Karukachal Parakkdavu Kottayam,3,4,18,23.422071378074516,1,1,Kerala,Kerala,Parakkdavu Mundakayam Karukachal,Carting,Mundakayam Karukachal Parakkdavu Kottayam
317,Gurgaon TO Gurgaon,Gurgaon Muzaffrpur Purnia -- Muzaffrpur Purnia Gurgaon,3,3,8,1775.6913349991505,2,2,Bihar Haryana,Haryana Bihar,Gurgaon Muzaffrpur Purnia,FTL,Muzaffrpur Purnia Gurgaon
318,Basti TO Basti,Basti Gorakhpur Harraiya -- Gorakhpur Khalilabad Kanpur Basti,3,4,7,190.65563580852222,1,1,Uttar Pradesh,Uttar Pradesh,Basti Gorakhpur Harraiya,FTL,Gorakhpur Khalilabad Kanpur Basti
319,Coimbatore TO Coimbatore,Coimbatore Udumalpet Pollachi -- Udumalpet Pollachi Coimbatore,3,3,18,134.6804793837247,1,1,Tamil Nadu,Tamil Nadu,Coimbatore Udumalpet Pollachi,Carting,Udumalpet Pollachi Coimbatore
320,Jalandhar TO Chandigarh,Jalandhar Chandigarh Ludhiana -- Ludhiana Jalandhar Chandigarh,3,3,18,199.81552842909161,2,1,Punjab,Road Punjab Punjab,Jalandhar Chandigarh Ludhiana,FTL,Ludhiana Jalandhar Chandigarh
321,Visakhapatnam TO Visakhapatnam,Visakhapatnam Anakapalle Narsiptnm -- Anakapalle Narsiptnm Visakhapatnam,3,3,4,118.47948006307892,1,1,Andhra Pradesh,Andhra Pradesh,Visakhapatnam Anakapalle Narsiptnm,Carting,Anakapalle Narsiptnm Visakhapatnam
322,Hospet TO Hospet,Hospet Sandur Bellary -- Sandur Bellary Hospet,3,3,10,85.25863789372234,1,1,Karnataka,Karnataka,Hospet Sandur Bellary,FTL,Sandur Bellary Hospet
323,Visakhapatnam TO Bheemunipatnam,Visakhapatnam Bheemunipatnam Vizianagaram -- Vizianagaram Visakhapatnam Bheemunipatnam,3,3,12,81.92048514323564,1,1,Andhra Pradesh,Andhra Pradesh,Visakhapatnam Bheemunipatnam Vizianagaram,Carting,Vizianagaram Visakhapatnam Bheemunipatnam
324,CCU TO CCU,CCU Fatepur Kakdwip -- Fatepur Kakdwip CCU,3,3,8,76.64362371470452,1,1,West Bengal,West Bengal,CCU Fatepur Kakdwip,Carting,Fatepur Kakdwip CCU
325,Visakhapatnam TO Vizianagaram,Visakhapatnam Bheemunipatnam Vizianagaram -- Visakhapatnam Bheemunipatnam Vizianagaram,3,3,4,99.19192793595747,1,1,Andhra Pradesh,Andhra Pradesh,Visakhapatnam Bheemunipatnam Vizianagaram,Carting,Visakhapatnam Bheemunipatnam Vizianagaram
326,Panipat TO Panipat,Panipat Karnal Sonipat -- Karnal Sonipat Panipat,3,3,12,70.60872367574781,1,1,Haryana,Haryana,Panipat Karnal Sonipat,FTL,Karnal Sonipat Panipat
327,Ludhiana TO Bhatinda,Ludhiana Moga Muktsar -- Moga Muktsar Bhatinda,3,3,14,154.41869281062313,1,1,Punjab,Punjab,Ludhiana Moga Muktsar,FTL,Moga Muktsar Bhatinda
328,Sonipat TO Sonipat,Sonipat Moradabad Rudrapur -- Moradabad Rudrapur Sonipat,3,3,21,368.09759561167516,3,3,Uttar Pradesh Uttarakhand Haryana,Haryana Uttar Pradesh Uttarakhand,Sonipat Moradabad Rudrapur,FTL,Moradabad Rudrapur Sonipat
329,Gonda TO Tulsipur,Gonda Tulsipur Balrampur -- Balrampur Gonda Tulsipur,3,3,14,81.36526421213982,1,1,Uttar Pradesh,Uttar Pradesh,Gonda Tulsipur Balrampur,Carting,Balrampur Gonda Tulsipur
330,Ganga TO Ganga,Ganga Hisar Hanumangarh -- Sirsa Hanumangarh Ganga,3,3,11,179.72410037391603,2,2,Haryana Rajasthan,Rajasthan Haryana,Ganga Hisar Hanumangarh,FTL,Sirsa Hanumangarh Ganga
331,Shimoga TO Shimoga,Shimoga Thirthahalli Koppa -- Thirthahalli Koppa Shimoga,3,3,1,115.97901515595007,1,1,Karnataka,Karnataka,Shimoga Thirthahalli Koppa,FTL,Thirthahalli Koppa Shimoga
332,Allahabad TO Phulpur,Allahabad Soraon Phulpur -- Allahabad Soraon Phulpur,3,3,14,86.78181438079972,1,1,Uttar Pradesh,Uttar Pradesh,Allahabad Soraon Phulpur,Carting,Allahabad Soraon Phulpur
333,Surendranagar TO Surendranagar,Surendranagar Limbdi Chotila -- Limbdi Botad Surendranagar,3,3,15,110.65250329445163,1,1,Gujarat,Gujarat,Surendranagar Limbdi Chotila,FTL,Limbdi Botad Surendranagar
334,Jalandhar TO Jalandhar,Jalandhar Kapurthala Nakodar -- Nakodar Kapurthala Jalandhar,3,3,17,42.25044778911184,1,1,Punjab,Punjab,Jalandhar Kapurthala Nakodar,FTL,Nakodar Kapurthala Jalandhar
335,Tirunelveli TO Tirunelveli,Tirunelveli Vallior Marthandam -- Vallior Nagarcoil Tirunelveli,3,3,12,142.00394981718492,1,1,Tamil Nadu,Tamil Nadu,Tirunelveli Vallior Marthandam,FTL,Vallior Nagarcoil Tirunelveli
336,Hyderabad TO Karimnagar,Hyderabad Kamareddy Karimnagar -- Kamareddy Hyderabad Karimnagar,3,3,14,172.1458856006736,1,1,Telangana,Telangana,Hyderabad Kamareddy Karimnagar,FTL,Kamareddy Hyderabad Karimnagar
337,Nadiad TO Nadiad,Nadiad Umreth Anand -- Umreth Anand Nadiad,3,3,17,49.98453662691438,1,1,Gujarat,Gujarat,Nadiad Umreth Anand,Carting,Umreth Anand Nadiad
338,Ahmedabad TO Jaipur,Ahmedabad Udaipur Pali -- Udaipur Pali Jaipur,3,3,14,523.1092300507165,2,1,Rajasthan,Gujarat Rajasthan,Ahmedabad Udaipur Pali,FTL,Udaipur Pali Jaipur
339,Sonipat TO Rishikesh,Sonipat Roorkee Haridwar -- Roorkee Haridwar Rishikesh,3,3,6,168.96424398836663,2,1,Uttarakhand,Haryana Uttarakhand,Sonipat Roorkee Haridwar,FTL,Roorkee Haridwar Rishikesh
340,Bengaluru TO Ambur,Bengaluru Vellore Ambur -- Bengaluru Vellore Ambur,3,3,4,193.46387348725264,2,2,Karnataka Tamil Nadu,Karnataka Tamil Nadu,Bengaluru Vellore Ambur,FTL,Bengaluru Vellore Ambur
341,Kanker TO Kanker,Kanker Mahasamund Durg -- Mahasamund Durg Kanker,3,3,13,108.42676748912719,1,1,Chhattisgarh,Chhattisgarh,Kanker Mahasamund Durg,FTL,Mahasamund Durg Kanker
342,Ghumarwin TO BilaspurHP,Ghumarwin Jahu JognderNgr -- Jahu JognderNgr BilaspurHP,3,3,14,117.85020813488437,1,1,Himachal Pradesh,Himachal Pradesh,Ghumarwin Jahu JognderNgr,FTL,Jahu JognderNgr BilaspurHP
343,Murbad TO Murbad,Murbad Asangaon Bhiwandi -- Asangaon Bhiwandi Murbad,3,3,16,72.12899703285329,1,1,Maharashtra,Maharashtra,Murbad Asangaon Bhiwandi,Carting,Asangaon Bhiwandi Murbad
344,Bellary TO Sandur,Bellary Hospet Sandur -- Hospet Bellary Sandur,3,3,9,103.67002699696967,1,1,Karnataka,Karnataka,Bellary Hospet Sandur,FTL,Hospet Bellary Sandur
345,Naraingarh TO Naraingarh,Naraingarh Lalru Chandigarh -- Lalru Chandigarh Naraingarh,3,3,17,39.1533543649324,2,2,Punjab Haryana,Haryana Punjab,Naraingarh Lalru Chandigarh,Carting,Lalru Chandigarh Naraingarh
346,Jamui TO Sultanganj,Jamui KharagpurBR Munger -- KharagpurBR Munger Sultanganj,3,3,4,70.76008032704965,1,1,Bihar,Bihar,Jamui KharagpurBR Munger,FTL,KharagpurBR Munger Sultanganj
347,Guwahati TO Guwahati,Guwahati Shillong Jowai -- Shillong Jowai Guwahati,3,3,10,87.77504748099572,2,2,Meghalaya Assam,Assam Meghalaya,Guwahati Shillong Jowai,FTL,Shillong Jowai Guwahati
348,Bhubaneshwar TO Tangi,Bhubaneshwar Tangi Berhampur -- Berhampur Bhubaneshwar Tangi,3,3,10,183.03628949274412,1,1,Orissa,Orissa,Bhubaneshwar Tangi Berhampur,FTL,Berhampur Bhubaneshwar Tangi
349,MAA TO Kolkata,MAA Visakhapatnam Bhubaneshwar -- Visakhapatnam Bhubaneshwar Kolkata,3,3,3,1185.1037541593278,3,3,Andhra Pradesh Orissa West Bengal,Tamil Nadu Andhra Pradesh Orissa,MAA Visakhapatnam Bhubaneshwar,FTL,Visakhapatnam Bhubaneshwar Kolkata
350,SultnBthry TO SultnBthry,SultnBthry Kalpetta Mananthavady -- Kalpetta Mananthavady SultnBthry,3,3,13,41.874368172974826,1,1,Kerala,Kerala,SultnBthry Kalpetta Mananthavady,Carting,Kalpetta Mananthavady SultnBthry
351,Brajrajnagar TO Rajgangpur,Brajrajnagar Sundargarh Jharsuguda -- Sundargarh Rajgangpur,3,2,7,75.15822568909799,1,1,Orissa,Orissa,Brajrajnagar Sundargarh Jharsuguda,FTL,Sundargarh Rajgangpur
352,Bhiwadi TO Dharuhera,Bhiwadi Narnaul Rewari -- Neemrana Rewari Dharuhera,3,3,3,135.26511148451763,2,2,Rajasthan Haryana,Rajasthan Haryana,Bhiwadi Narnaul Rewari,FTL,Neemrana Rewari Dharuhera
353,Nipani TO Jath,Nipani Chikodi Bijapur -- Chikodi Bijapur Jath,3,3,1,202.38464177769086,1,2,Karnataka Maharashtra,Karnataka,Nipani Chikodi Bijapur,FTL,Chikodi Bijapur Jath
354,Rudrapur TO Rudrapur,Rudrapur Ramnagar Kashipur -- Ramnagar Kashipur Rudrapur,3,3,18,123.36078362179336,1,1,Uttarakhand,Uttarakhand,Rudrapur Ramnagar Kashipur,FTL,Ramnagar Kashipur Rudrapur
355,Hapur TO Hapur,Hapur GZB Pilkhuwa -- GZB Pilkhuwa Hapur,3,3,19,68.00542382233812,1,1,Uttar Pradesh,Uttar Pradesh,Hapur GZB Pilkhuwa,Carting,GZB Pilkhuwa Hapur
356,Gurgaon TO Gurgaon,Gurgaon Gwalior Dholpur -- Gwalior Dholpur Gurgaon,3,3,6,432.2236994953757,3,3,Madhya Pradesh Rajasthan Haryana,Haryana Madhya Pradesh Rajasthan,Gurgaon Gwalior Dholpur,FTL,Gwalior Dholpur Gurgaon
357,Patran TO Patran,Patran Chandigarh Samana -- Chandigarh Samana Patran,3,3,15,110.11372142898948,1,1,Punjab,Punjab,Patran Chandigarh Samana,FTL,Chandigarh Samana Patran
358,Hyderabad TO Hyderabad,Hyderabad Rajamundry Vizag -- Rajamundry Visakhapatnam Hyderabad,3,3,1,1038.281991525817,2,2,Andhra Pradesh Telangana,Telangana Andhra Pradesh,Hyderabad Rajamundry Vizag,FTL,Rajamundry Visakhapatnam Hyderabad
359,Kharagpur TO AmaDubi,Kharagpur ChandroknaRD AmaDubi -- Jhargram Kharagpur ChandroknaRD AmaDubi,3,4,15,103.7837061017094,1,1,West Bengal,West Bengal,Kharagpur ChandroknaRD AmaDubi,FTL,Jhargram Kharagpur ChandroknaRD AmaDubi
360,Ahmedabad TO Gandhinagar,Ahmedabad Gandhinagar Amd -- Amd Ahmedabad Gandhinagar,3,3,19,48.12476008385912,1,1,Gujarat,Gujarat,Ahmedabad Gandhinagar Amd,Carting,Amd Ahmedabad Gandhinagar
361,Vidisha TO Bhopal,Vidisha GanjBasoda Sagar -- GanjBasoda Sagar Bhopal,3,3,1,276.5283188171022,1,1,Madhya Pradesh,Madhya Pradesh,Vidisha GanjBasoda Sagar,FTL,GanjBasoda Sagar Bhopal
362,Mainpuri TO Delhi,Mainpuri Shikohabad Firozabad -- Shikohabad Firozabad Delhi,3,3,1,260.0495592069461,1,2,Uttar Pradesh Delhi,Uttar Pradesh,Mainpuri Shikohabad Firozabad,Carting,Shikohabad Firozabad Delhi
363,Muktsar TO Muktsar,Muktsar Jalalabad Fazilka -- Jalalabad Fazilka Muktsar,3,3,2,82.80223174640925,1,1,Punjab,Punjab,Muktsar Jalalabad Fazilka,FTL,Jalalabad Fazilka Muktsar
364,Delhi TO Surat,Delhi Gurgaon Vadodara -- Gurgaon Vadodara Surat,3,3,7,801.4054459049877,3,2,Haryana Gujarat,Delhi Haryana Gujarat,Delhi Gurgaon Vadodara,FTL,Gurgaon Vadodara Surat
365,Bengaluru TO Ambur,Bengaluru Vellore Ambur -- Bengaluru Vellore Ambur,3,3,4,249.89285596451208,2,2,Karnataka Tamil Nadu,Karnataka Tamil Nadu,Bengaluru Vellore Ambur,FTL,Bengaluru Vellore Ambur
366,Purnia TO Naugchia,Purnia Katihar Naugchia -- Katihar Khagaria Naugchia,3,3,11,115.94703444911734,1,1,Bihar,Bihar,Purnia Katihar Naugchia,FTL,Katihar Khagaria Naugchia
367,Ludhiana TO Ludhiana,Ludhiana Jagraon Raikot -- Jagraon Raikot Ludhiana,3,3,22,85.72436326168489,1,1,Punjab,Punjab,Ludhiana Jagraon Raikot,FTL,Jagraon Raikot Ludhiana
368,Kolhapur TO Kolhapur,Kolhapur Ratnagiri Shirala -- Ratnagiri Shirala Kolhapur,3,3,13,154.17448355439527,1,1,Maharashtra,Maharashtra,Kolhapur Ratnagiri Shirala,FTL,Ratnagiri Shirala Kolhapur
369,Kolkata TO Midnapore,Kolkata Midnapore Kharagpur -- Kharagpur Kolkata Midnapore,3,3,15,196.466268499794,1,1,West Bengal,West Bengal,Kolkata Midnapore Kharagpur,FTL,Kharagpur Kolkata Midnapore
370,Deoghar TO Sahebganj,Deoghar Dhanbad Godda -- Godda Deoghar Sahebganj,3,3,2,134.37950826460064,1,1,Jharkhand,Jharkhand,Deoghar Dhanbad Godda,FTL,Godda Deoghar Sahebganj
371,Dhar TO Ahmedabad,Dhar Ratlam Jaora -- Ratlam Jaora Ahmedabad,3,3,21,333.38079113459406,1,2,Madhya Pradesh Gujarat,Madhya Pradesh,Dhar Ratlam Jaora,FTL,Ratlam Jaora Ahmedabad
372,Kabuganj TO Silchar,Kabuganj Silchar Kolasib -- Kolasib Kabuganj Silchar,3,3,3,90.73194541589616,2,2,Mizoram Assam,Assam Mizoram,Kabuganj Silchar Kolasib,FTL,Kolasib Kabuganj Silchar
373,Raichur TO Siruguppa,Raichur Manvi Sindhanur -- Manvi Sindhanur Siruguppa,3,3,3,52.918241789642906,1,1,Karnataka,Karnataka,Raichur Manvi Sindhanur,Carting,Manvi Sindhanur Siruguppa
374,Pune TO Pune,Pune Rajgurunagar Talegaon -- Rajgurunagar Talegaon Pune,3,3,6,36.849933737446165,1,1,Maharashtra,Maharashtra,Pune Rajgurunagar Talegaon,Carting,Rajgurunagar Talegaon Pune
375,Mainpuri TO nan,Mainpuri Firozabad Shikohabad nan -- Firozabad Delhi Shikohabad nan,3,3,7,141.77331448882072,1,2,Uttar Pradesh Delhi nan,Uttar Pradesh nan,Mainpuri Firozabad Shikohabad nan,FTL,Firozabad Delhi Shikohabad nan
376,SrinagarUK TO SrinagarUK,SrinagarUK Karnaprayag Chamoli -- Karnaprayag Chamoli SrinagarUK,3,3,18,95.57959404069335,1,1,Uttarakhand,Uttarakhand,SrinagarUK Karnaprayag Chamoli,FTL,Karnaprayag Chamoli SrinagarUK
377,Ahmedabad TO Jhabua,Ahmedabad Godhra Dahod -- Godhra Dahod Jhabua,3,3,21,187.7915730039502,1,2,Gujarat Madhya Pradesh,Gujarat,Ahmedabad Godhra Dahod,FTL,Godhra Dahod Jhabua
378,MAA TO Gurgaon,MAA Hyderabad Bhopal -- Hyderabad Bhopal Gurgaon,3,3,12,1048.6870143955482,3,3,Telangana Madhya Pradesh Haryana,Tamil Nadu Telangana Madhya Pradesh,MAA Hyderabad Bhopal,FTL,Hyderabad Bhopal Gurgaon
379,Varanasi TO Aunrihar,Varanasi MughalSarai Chandauli -- MughalSarai Chandauli Aunrihar,3,3,3,58.785665693987454,1,1,Uttar Pradesh,Uttar Pradesh,Varanasi MughalSarai Chandauli,Carting,MughalSarai Chandauli Aunrihar
380,Muzaffrpur TO Muzaffrpur,Muzaffrpur Kanti Saraiya -- Kanti Saraiya Muzaffrpur,3,3,18,45.53792755604781,1,1,Bihar,Bihar,Muzaffrpur Kanti Saraiya,Carting,Kanti Saraiya Muzaffrpur
381,Udaipur TO Udaipur,Udaipur Pali Ahmedabad -- Pali Jaipur Udaipur,3,3,6,448.85425019089524,2,1,Rajasthan,Rajasthan Gujarat,Udaipur Pali Ahmedabad,FTL,Pali Jaipur Udaipur
382,Gangarampr TO Malda,Gangarampr Bamangola Balurghat -- Balurghat Gangarmpur Gangarampr Malda,3,4,12,33.15789343049148,1,1,West Bengal,West Bengal,Gangarampr Bamangola Balurghat,Carting,Balurghat Gangarmpur Gangarampr Malda
383,Rampur TO Rampur,Rampur Bareilly Faridpur -- Bareilly Faridpur Rampur,3,3,17,137.41070985141937,1,1,Uttar Pradesh,Uttar Pradesh,Rampur Bareilly Faridpur,FTL,Bareilly Faridpur Rampur
384,Pune TO Pune,Pune Ambegaon Rajgurunagar -- Ambegaon Rajgurunagar Pune,3,3,4,61.649127325156336,1,1,Maharashtra,Maharashtra,Pune Ambegaon Rajgurunagar,Carting,Ambegaon Rajgurunagar Pune
385,Varanasi TO Mirzapur,Varanasi Bhadohi Gopiganj -- Bhadohi Gopiganj Mirzapur,3,3,1,68.76791069563336,1,1,Uttar Pradesh,Uttar Pradesh,Varanasi Bhadohi Gopiganj,FTL,Bhadohi Gopiganj Mirzapur
386,Dibrugarh TO Dibrugarh,Dibrugarh Digboi Margherita -- Digboi Margherita Dibrugarh,3,3,15,128.59205514963466,1,1,Assam,Assam,Dibrugarh Digboi Margherita,Carting,Digboi Margherita Dibrugarh
387,Bamangola TO Gangarmpur,Bamangola Gangarampr Malda -- Balurghat Malda Bamangola Gangarmpur,3,4,4,64.4136719064791,1,1,West Bengal,West Bengal,Bamangola Gangarampr Malda,FTL,Balurghat Malda Bamangola Gangarmpur
388,Kanpur TO Hamirpur,Kanpur Bewar Ghatampur -- Ghatampur Kanpur Hamirpur,3,3,20,104.26249046808968,1,1,Uttar Pradesh,Uttar Pradesh,Kanpur Bewar Ghatampur,Carting,Ghatampur Kanpur Hamirpur
389,MAA TO Bhiwandi,MAA Bengaluru Pune -- Bengaluru Pune Bhiwandi,3,3,15,977.6074612089338,3,2,Karnataka Maharashtra,Tamil Nadu Karnataka Maharashtra,MAA Bengaluru Pune,FTL,Bengaluru Pune Bhiwandi
390,Aluva TO Kozhikode,Aluva Guruvayoor Tirur -- Guruvayoor Edappal Kozhikode,3,3,2,99.68285407783188,1,1,Kerala,Kerala,Aluva Guruvayoor Tirur,FTL,Guruvayoor Edappal Kozhikode
391,Tezpur TO Balipara,Tezpur Bomdila Balipara -- Bhalukpong Tezpur Balipara,3,3,2,83.32233774515478,2,2,Arunachal Pradesh Assam,Assam Arunachal Pradesh,Tezpur Bomdila Balipara,Carting,Bhalukpong Tezpur Balipara
392,Pratapgarh TO Pratapgarh,Pratapgarh Mandsaur Sitamau -- Mandsaur Sitamau Pratapgarh,3,3,12,102.48987515102543,2,2,Madhya Pradesh Rajasthan,Rajasthan Madhya Pradesh,Pratapgarh Mandsaur Sitamau,FTL,Mandsaur Sitamau Pratapgarh
393,Khammam TO Khammam,Khammam Kodad Kusumnchi -- Kodad Kusumnchi Khammam,3,3,12,77.944004887441,1,1,Telangana,Telangana,Khammam Kodad Kusumnchi,FTL,Kodad Kusumnchi Khammam
394,Brahmapuri TO Gadchiroli,Brahmapuri Chamorshi Gadchiroli -- Chamorshi Gadchiroli,3,2,8,66.77531927764133,1,1,Maharashtra,Maharashtra,Brahmapuri Chamorshi Gadchiroli,Carting,Chamorshi Gadchiroli
395,Haldia TO Tamluk,Haldia Tamluk Panskura -- Panskura Haldia Tamluk,3,3,6,71.37205265458853,1,1,West Bengal,West Bengal,Haldia Tamluk Panskura,Carting,Panskura Haldia Tamluk
396,Hyderabad TO Hyderabad,Hyderabad Medchal Hyd -- Medchal Hyderabad,3,2,11,18.433619832052827,1,1,Telangana,Telangana,Hyderabad Medchal Hyd,Carting,Medchal Hyderabad
397,Kolkata TO Hoogly,Kolkata Hooghly Hoogly -- Hooghly Kolkata Hoogly,3,3,18,41.71612379644578,1,1,West Bengal,West Bengal,Kolkata Hooghly Hoogly,Carting,Hooghly Kolkata Hoogly
398,Ahmedabad TO Gandhinagar,Ahmedabad Gandhinagar Amd -- Amd Ahmedabad Gandhinagar,3,3,20,61.58350935025119,1,1,Gujarat,Gujarat,Ahmedabad Gandhinagar Amd,Carting,Amd Ahmedabad Gandhinagar
399,Chandigarh TO AnandprShb,Chandigarh RoopNagar AnandprShb -- Chandigarh RoopNagar AnandprShb,3,3,22,157.53067977808843,2,2,Chandigarh Punjab,Punjab Chandigarh,Chandigarh RoopNagar AnandprShb,FTL,Chandigarh RoopNagar AnandprShb
400,Thiruvarur TO Thiruvarur,Thiruvarur Thirthurpondi Pushpavanam -- Thirthurpondi Pushpavanam Thiruvarur,3,3,17,82.10343940313976,1,1,Tamil Nadu,Tamil Nadu,Thiruvarur Thirthurpondi Pushpavanam,Carting,Thirthurpondi Pushpavanam Thiruvarur
401,Bhavnagar TO Bhavnagar,Bhavnagar Amreli Palitana -- Amreli Bhavnagar,3,2,14,111.13376221994797,1,1,Gujarat,Gujarat,Bhavnagar Amreli Palitana,FTL,Amreli Bhavnagar
402,Ambasamdrm TO Ambasamdrm,Ambasamdrm Tirunelveli Tenkasi -- Tirunelveli Tenkasi Ambasamdrm,3,3,14,82.52716767698314,1,1,Tamil Nadu,Tamil Nadu,Ambasamdrm Tirunelveli Tenkasi,FTL,Tirunelveli Tenkasi Ambasamdrm
403,Gurgaon TO Hyderabad,Gurgaon Vijayawada -- Vijayawada Hyderabad,2,2,12,1481.9261359905558,2,2,Andhra Pradesh Telangana,Haryana Andhra Pradesh,Gurgaon Vijayawada,FTL,Vijayawada Hyderabad
404,Rajkot TO Jasdan,Rajkot Gondal -- Gondal Jasdan,2,2,2,56.61944101262387,1,1,Gujarat,Gujarat,Rajkot Gondal,Carting,Gondal Jasdan
405,MAA TO Bengaluru,MAA Ambur -- Ambur Bengaluru,2,2,5,271.63181167196217,1,2,Tamil Nadu Karnataka,Tamil Nadu,MAA Ambur,FTL,Ambur Bengaluru
406,Noida TO Noida,Noida Dadri -- Dadri Noida,2,2,4,23.86598685453161,1,1,Uttar Pradesh,Uttar Pradesh,Noida Dadri,Carting,Dadri Noida
407,Bhiwandi TO Bhiwandi,Bhiwandi Mumbai -- Mumbai Bhiwandi,2,2,18,22.73714664267863,1,1,Maharashtra,Maharashtra,Bhiwandi Mumbai,Carting,Mumbai Bhiwandi
408,Vijayawada TO Vijayawada,Vijayawada Nandigama -- Nandigama Vijayawada,2,2,9,82.6623591532454,1,1,Andhra Pradesh,Andhra Pradesh,Vijayawada Nandigama,Carting,Nandigama Vijayawada
